Year,Season ,State
2010,Summer,Alabama
1992,Fall,Alaska
1974,Fall,Rhode Island
1973,Summer,Pennsylvania
1984,Spring,Oregon
1973,Fall,Oklahoma
1971,Summer,Ohio
2010,Fall,New York
1970,Fall,Nevada
,,
2000,Fall,New Jersey
2016,Summer,New Hampshire
2018,Spring,Nebraska
1962,Spring,North Dakota
1988,Spring,North Carolina
1971,Summer,Montana
1988,Winter,Montana
2007,Summer,Montana
2011,Summer,North Carolina
1987,Summer,New Jersey
2007,Winter,New Jersey
1981,Spring,New Jersey
1977,Summer,New Jersey
2000,Spring,New Mexico
2006,Fall,New Mexico
2009,Summer,New Mexico
2011,Winter,New Mexico
1972,Summer,Nevada
1972,Summer,Nevada
1978,Summer,Ohio
1978,Winter,Ohio
1984,Summer,Ohio
1990,Summer,Ohio
2009,Fall,Ohio
1976,Summer,Pennsylvania
1978,Summer,Rhode Island
2006,Fall,Rhode Island
2013,Winter,Alabama
2004,Spring,Montana
1979,Winter,Montana
1991,Fall,Montana
2011,Winter,Montana
1989,Spring,Montana
1977,Summer,Montana
2004,Winter,North Dakota
2005,Summer,North Dakota
2004,Winter,North Dakota
1979,Summer,Nebraska
1975,Summer,Nebraska
2000,Fall,New Hampshire
2004,Summer,New Hampshire
2013,Summer,New Hampshire
2003,Fall,Nebraska
2006,Fall,Nebraska
